tweet,sentiment_blob,sentiment_vader
Yuruyen merdivenli ilk universite :) #istanbulkulturuniversitesi #kulturuni   @ İstanbul Kültür Üniversitesi http://t.co/17jOMxFI,1,1
#istanbulkulturuniversitesi bız cok meraklıydık oynamaya zaten bu becerıksız organızasyonda,0,0
#istanbulkulturuniversitesi para var beyin 0,0,0
#istanbulkulturuniversitesi once insanligi ogrensin sonra tiyatro yapar sonrada festival,0,1
#istanbulkulturuniversitesi bır festıval duzenlıyor yurt dısından gelen ekıbı bekletemem dıye bızım oyunumuzu ıptal edıyor.,0,0
"#istanbulkulturuniversitesi uluslar arası festıval yapıp, ısık gorevlısı olmadıgı ıcın mısafır ekıp ısıga cıkıyor ve cıkanın kafası yarılıyo",0,0
#istanbulkulturuniversitesi uluslarasi festival duzenliyor. Sunu merak ediyorm o oyunlari anlicak ogrenci&amp;teknik ekip mevcut mu peki?(!)?,0,1
#istanbulkulturuniversitesi Yeditepe Üniversitesi Tiyatro Kulübü'ne karşı kabul edilemez bir üslup. Diz boyu saygısızlık. @IKUedu,0,0
Bugünümü süsleyen kitap #beneebaron #kendinizitanıyın 🎀 #ikü #istanbulkulturuniversitesi #iküyayınevi https://t.co/X0KbVFdE9s,0,0
Hey gidi günler #TBT 'si 🙈  #istanbulkulturuniversitesi #iku #3temmuz2013 #mezuniyet… https://t.co/IeT6BZLzzl,0,0
TEDx İKÜ başladı. Kaçıranlar çok üzülecek. #tedxikü #tedxiku #tedx #istanbulkulturuniversitesi… https://t.co/MGOd9caOZM,0,0
"İKÜ Pop Müzik Topluluğu, 70'lerden Günümüze Yabancı Pop Konseri #istanbulkulturuniversitesi… https://t.co/UZWZDxEiBD",0,0
"İstanbul Kültür Üniversitesi'nde bugün saygıdeğer öğretmenlerimiz eşliğinde, birbirinden değerli öğrencilerimiz ile birlikte öğretmenler gününü kutladık. İşte bu özel güne dair kareler!
#24KasımÖğretmenlerGünü #ÖğretmenlerGünü #öğretmen #istanbulkulturuniversitesi https://t.co/cD5dsRSOTb",0,0
İstanbul Kültür Üniversitesi ile ortaklaşa gerçekleştirdiğimiz Kadın ve Yaşam Semineri sunumlarla devam ediyor. #istanbulkulturuniversitesi #seminer #kadınveyasam https://t.co/u4byLEIXzE,0,0
"24 Kasım ""Öğretmenler Günü"" kapsamında düzenlenecek programımıza tüm öğretmen ve öğrencilerimiz davetlidir. 📣

#ogretmenlergunu #ogretmen #istanbulkulturuniversitesi #iku https://t.co/U0KutgfODt",0,0
"24 Kasım ""Öğretmenler Günü"" kapsamında düzenlenecek programımıza tüm öğretmen ve öğrencilerimiz davetlidir.📣
#ogretmenlergunu #ogretmen #istanbulkulturuniversitesi #iku https://t.co/KWuppOR6mb",0,0
Bu ay #IstanbulKulturUniversitesi ‘nde   @kultur_noktasi yaptigimiz #Next18Fintech etkinliginde #EskiPuanlarKriptoParaOldu @globalmiles_ konusu icin @kullanilability sahnede @FinTechTime https://t.co/SnJEJ1tM8H,0,0
Bu ay #IstanbulKulturUniversitesi ‘nde   @kultur_noktasi yaptigimiz #Next18Fintech etkinliginde #Insuretech ve #AI konulari icin @gokalpharman sahnede @FinTechTime https://t.co/lDOv4z3845,0,0
"AKINSOFT Pazarlama Müdürü Ganimete GİLANCİ ve Ürün - Proje Müdür Yardımcısı Engin ÜNAL, Ataköy Yerleşkesinde ""Yeni Medya Seminerleri 16"" Etkinliği kapsamında İstanbul Kültür Üniversitesi öğrencileriyle buluştu. #İKÜ #İstanbulkulturuniversitesi #yenimedyaseminerleri16 #akinsoft https://t.co/6I2kqaV3kQ",0,0
"Yeni arkadaşlarımıza hoş geldiniz diyoruz!
İşletme Girişimcilik ve İnovasyon Kulübü (İGİ) olarak sizleri aramızda görmekten mutluluk duyarız 🤗  #istanbulkültürüniversitesi #ikü #ikuigi #isletme #girişimcilik #inovasyon #istanbulkulturuniversitesi 
https://t.co/EZm4cSJS3T https://t.co/ERtXeHR0MW",0,1
"28 Nisan'da genç meslektaş adaylarimiza yeni fikirler vermek, ilham olmak, ufuk açmak,  hayal kurdurmak icin @ieeeiku davetlisi olarak #IstanbulKulturUniversitesi 'ndeyiz. #Genetik okuyup da ne olacağız hocam diye… https://t.co/cTyJivqYYr",0,0
"Hayatının en keyifli😂, en yaratıcı🤩, en bilgili🧐 ve en eğlenceli🥳 dönemi başlıyor👍🏻
Kayıt için unutmaman gerekenleri senin için sıraladık🤔🤗😉👇🏻

#kültürüniversitesi #iku #istanbulkulturuniversitesi 
@IKUedu https://t.co/6qEM6CbG3l",0,1
"Yeniliklerle, bilgiyle, güzelliklerle dolu üniversite hayatın burada başladı. Son bir adım daha... Kayıt için unutmaman gerekenleri senin için sıraladık. 😉👆 #kültürüniversitesi #iku #istanbulkulturuniversitesi https://t.co/HTc90C4yUJ",0,0
"Scenes from the class at Istanbul Kültür University, Department of Tourism and Hotel Managment...

İstanbul Kültür Üniversitesi, Turizm ve Otel İşletmeciliği bölümü öğrencilerine ilk dersimden kareler. Çok keyifliydi...

#cangezi #istanbulkulturuniversitesi #iku https://t.co/mYFFHZZ1BZ",0,0
"Bugün, İstanbul Kültür Üniversitesi’nde Turizm ve Otel İşletmeciliği bölümü öğrencilerine “misafir öğretmen / guest lecturer” olarak ilk dersimi veriyorum...

#cangezi #istanbulkulturuniversitesi #iku https://t.co/NDKhBzyk17",0,0
Bugün günlerden Kültür #istanbulkulturuniversitesi 📚 https://t.co/sq410RS8dm,0,0
"İstanbul Kültür Üniversitesi, Turizm ve Otel İşletmeciliği bölümü öğrencilerine ilk dersimden kareler. Çok keyifliydi...

#cangezi #istanbulkulturuniversitesi #iku https://t.co/3eu9sEzfJU",0,0
"Cangezi ile İstanbul Kültür Üniversitesi Turizm ve Otel İşletmeciliği Programı arasında sektörel işbirliği protokolü imzalanmıştır. Protokol çerçevesinde eğitim / dersler, staj ve iş imkanı sağlanacaktır...

#cangezi #istanbulkulturuniversitesi #iku https://t.co/EPdwLbnPz5",0,0
"kampüsü yok dediler olsun eğitimi var dedik 
şuan bakıyorum da sevebileceğimiz hiçbir şeyin kalmamış 
öğrencilerini mağdur etme ikü 
sana değer katacak tek şey biziz 
#istanbulkulturuniversitesi #ikusiniftakaldi",0,0
İstanbul Kültür Üniversitesi Hakkında Bilgi 👉 https://t.co/yAcWFN5WVU #AllWorldData #üniversite #tercih #istanbulkulturuniversitesi,0,0
istanbul kültür üniversitesi's photostream İzmir Saint Joseph Lisesi @izmirsj http://t.co/dItkXDAZ,0,0
istanbul kültür üniversitesi hukuk fuckültesi.,0,0
istanbul kültür üniversitesi beni niye takip ediyor amk,0,0
istanbul kültür üniversitesi #okulakitabınlabaşla,0,0
Önümüzdeki hafta istanbul kültür üniversitesi bölgesinde sert lodos ile birlikte vize yağmuru bekleniyor,0,0
Ikü (istanbul kültür üniversitesi)  tarihinde ilk defa kar tatili yapacakmış. Öğrenciler soktaymis. Asırlık üniversite ya hani(!) :D :D,1,1
#axesurpriziokulumda   istanbul kültür üniversitesi neden olmasınn,0,0
Fazıl Say bu gece istanbul Kültür Üniversitesi Akıngüç Oditoryumunda burslu öğrenciler yararına konser veriyor@IKUedu http://t.co/PPuS87ytTy,0,0
olum bu esenlerden istanbul kültür üniversitesi ( bahçelievler ) özel araçla ne kadar sürer bilen yok muu,0,0
arkadaşlar istanbul kültür üniversitesi hukuk fakültesi'nde çok sıkılıyorum. gelsenize. şirinevlerde. e5'in kenarı.,0,0
istanbul kültür üniversitesi bu ara turkcelle yarışıyo mesaj atma konusunda,0,0
vee istanbul kültür  üniversitesi :)),1,0
istanbul kültür üniversitesi: https://t.co/AzmqAHaskc kultur universitesi&amp;utm_term=0 @sozluk,0,0
#istanbul #kültür #üniversitesi bu mesajla duygulandirdin beni :'( http://t.co/lIHGJNrwBy,-1,-1
I'm at istanbul kültür üniversitesi http://t.co/tJA3wy9LDu,0,0
Kayıt işlemleride tamam @istanbul kültür Üniversitesi,0,0
"#meslekistasyonu kapsamında, istanbul Kültür Üniversitesi Ataköy Kampüsü Seminer 2 Salonunda LC Waikiki E-Ticaret... http://t.co/PTorn0kTDM",0,0
"27 Eylül saat 15.00de @Kariyerist2012 #meslekistasyonu kapsamında, istanbul Kültür Üniversitesi Ataköy Kampüsü... http://t.co/xxYvzfESBg",0,0
"- Nerede okuyorsun?
+ istanbul kültür üniversitesi
- Hmm. hangi şehirde?
+ Hakkari'de amınakoyim",0,0
"- Nerede okuyorsun?
+ istanbul kültür üniversitesi
- Hmm. hangi şehirde?
+ Hakkari'de amınakoyim.",0,0
"- Nerede okuyorsun?
+ istanbul kültür üniversitesi
- Hmm. hangi şehirde?
+ Hakkari'de amınakoyim.",0,0
- Nerede okuyorsun? + istanbul kültür üniversitesi - Hmm. hangi şehirde? + Hakkari'de amınakoyim.,0,0
"""@AlptunaAlptuna: - Nerede okuyorsun?
+ istanbul kültür üniversitesi
- Hmm. hangi şehirde?
+ Hakkari'de amınakoyim.""",0,0
"Şişman, istanbul kültür üniversitesi uluslararası ilişkiler 2 sınıf öğrencisi Duygu'dan: ""annem ben erkek olsaydım adımı Can koyacakmış""",0,0
"Teşekkürler beşiktaş belediyesi,bakırköy belediyesi arel üniversitesi migros istanbul kültür üniversitesi doğan kitap toyata ve koç...",0,0
istanbul bilgi üniveristesi istanbul kültür üniversitesi fatih üniversitesi? — ani ani aniiiiii http://t.co/mUD2hTWvxv,0,0
istanbul kültür Üniversitesi mescid yapımı için imza topluyoruz http://t.co/luUUDUu01O @ChangeTR aracılığıyla,0,0
ŞAAAAAMPİYOOONNN!! #istanbul #kültür #üniversitesi @okantemizten @ İTÜ Stadyumu http://t.co/NuU1OTWxIV,0,0
İbadet özgürlüğü herkesin hakkı.😇/istanbul kültür Üniversitesi öğrencileri: mescid istiyoruz http://t.co/T09cZC8K5h @ChangeTR aracılığıyla,0,1
yarın festivaller başlasın ilk durak istanbul kültür üniversitesi !,0,0
3.dövmem için tek engel istanbul kültür üniversitesi! bi bırak bizi bişi denicez!,0,0
#best #of #the #world #sıla #gençoğlu #in #love #istanbul #kültür #üniversitesi @ İstanbul Kültür… http://t.co/WGLa37zgUP,1,1
SILA KONSER öncesi 😆😉😎 #konser #istanbul #kültür #üniversitesi #i.k.ü #instagood #instaphoto… http://t.co/RROxq34Slu,0,1
#ikufest #sılaaa #saki @ istanbul kültür üniversitesi http://t.co/zYv0IPjkIR,0,0
#ikü#fest#sıla#konser#eglence#mutluluk @ istanbul Kültür üniversitesi http://t.co/zHWBxW592m,0,0
#istanbul#kültür#üniversitesi#şenlik#duman#darmaduman#eglence#mutluluk#hayat#burda http://t.co/n0JBswBnvE,0,0
I'm at istanbul kültür üniversitesi http://t.co/AuecRtRq0G,0,0
"""Final""ler x) (@ istanbul kültür üniversitesi) http://t.co/X8TWZMVQLf",0,0
#ben #sıla #konserine #gittik #sanıyodum #istanbulkültürüniversitesi :😱😂😂😂 @ istanbul kültür üniversitesi http://t.co/r50mARKeQh,0,1
istanbul kültür üniversitesi yenibosna kampüsü airport avm yanı/26 haziran 20:00 /kişi sınırlaması… http://t.co/LwpwlsZDKU,0,0
Langırt keyfii👍😊 @simemmnek fadil_tut @ istanbul kültür üniversitesi http://t.co/EbnHgjs4PP,0,1
istanbul kültür üniversitesi: https://t.co/ALUG7BTEKB @sozluk,0,0
her youtube videosundan fırlayan istanbul kültür üniversitesi reklamlarını görmeye gücüm kalmadı,0,0
"youtube'da istanbul kültür üniversitesi yurt tanıtım filmi,tercih dönemi-tanıtım günleri izlemekle geçiyor günlerim.",0,0
#istanbul #kültür#üniversitesi #işletme #lojistik Kültürlü olmak güzeldir :) http://t.co/oZcoOsk99C,1,1
Kimi sorsam istanbul aydın Üniversitesi yada istanbul kültür Üniversitesi,0,0
I'm at istanbul kültür üniversitesi kiz öğrenci yurdu in İstanbul https://t.co/YJFbWQpD8C,0,0
#okulyolutaştan #ikü #güneşgördümükaçmaz ☺️✌️💃 @ istanbul kültür üniversitesi http://t.co/Xd7c331ouf,0,1
💤 (@ istanbul kültür üniversitesi) https://t.co/OMhq7ujMmm,0,-1
"Hayırdır birader bir sıkıntımı var...! :-)
#istanbul #kültür #üniversitesi
#sınav #sonrası #hocaya… http://t.co/UMMhRkkkcR",1,1
I'm at istanbul kültür üniversitesi https://t.co/ErzbFPYxng,0,0
#SPSS #dersi #yaklaşıyor #istanbul #kültür #üniversitesi #ikü @ İstanbul Kültür Üniversitesi http://t.co/TQJmsKtzk3,0,0
Finaller biterse ☺️ #snow ❄️ @ istanbul kültür üniversitesi http://t.co/mzzNIFGF9A,0,1
Az önce bir fotoğraf paylaştı @ istanbul kültür üniversitesi https://t.co/nuvmhx93TX,0,0
yarın saat 15:30 da istanbul kültür üniversitesi'nde... http://t.co/UBxDSdkW8t,0,0
Ders saatiniz bekleyoz bizzz! @ istanbul kültür üniversitesi https://t.co/wOcD72z3eP,0,0
Biz boyle siriniz bence @ istanbul kültür üniversitesi https://t.co/ubyZp392By,0,0
09:55 hayaller boğaziçi 10:15 hayatlar istanbul kültür üniversitesi ücretli bütün bölümler,0,0
Seytanimiz bol olsun canisi @ istanbul kültür üniversitesi https://t.co/UfQqpEVUhn,0,0
#iyimiyizböylegençler @ istanbul kültür üniversitesi https://t.co/MfqahHpA4Z,0,0
I'm at istanbul kültür üniversitesi https://t.co/ygOa9XJbmP,0,0
Sesimize sıçalar mı? @tubaarar @ istanbul kültür üniversitesi ataköy kampüsü https://t.co/zatl3ItUOV,0,0
Mükemmel 👊👊👊 (@ istanbul kültür üniversitesi bahar şenlikleri) https://t.co/Ht66YF6Teo,0,0
Şenlik var dediler geldik.. eh birazda eglendikk @ istanbul kültür üniversitesi ataköy kampüsü https://t.co/S6Ugki9N8E,0,0
#ikü#istanbul#kültür#üniversitesi#reklam#çekimi#AhmetBikiç#kültürelçisi# https://t.co/LRGhztW8JH,0,0
Çocuk demiş çok fazla giderim var bana ortak olmalısın kız da demiş ki allahım ne kadar istanbul kültür üniversitesi bir erkek,0,0
Ay oley istanbul kültür üniversitesi insan hayattan nasıl bezdirilir bölümünü kazanmışım💁,0,1
Ne mezunusun ki bukadar herseyden haberin var bilgin var diyenler ;istanbul kültür Üniversitesi İşletme mezunuyum .2001 mezunu .oldumu ???,0,0
"""vurur yüze ifadesi istanbul kültür üniversitesi""",0,0
Akın yıldırım pusula adlı sergisi istanbul kültür üniversitesi sanat galerisi  4.25 kasım 2015 günlerinde izliyebilirsin sanat dolu günlere.,0,0
"istanbul kültür üniversitesi mütevelli heyeti başkanı Dr. Bahar Akıngüç Günver'in biyografi muazzam, işte başkan dediğin böyle olacak.",0,0
#Periscope'ta CANLI: ıstanbul kültür üniversitesi mutfağından canlı yayin https://t.co/Ictei6e2W8,0,0
"Bahçelievler de ev arkadaşı arıyorum, oda da olur — arkadaşlar istanbul kültür üniversitesi mimarlık ... https://t.co/zswao2lMcq #evarkadaşı",0,0
biri bana istanbul kültür üniversitesi ingiliz dili ve edebiyatıyla ilgili bi bilgi verse çok olmaz değil mi ? 🙃,0,0
"#Turancılar
#Almaty_Kazahkstan #آلماتی_قزاقستان_توران @ istanbul Kültür üniversitesi https://t.co/TsdPZfvRd6",0,0
"istanbul kültür üniversitesi festival düzenliyomuş, istanbul kültür üniversitesi diye bi şey mi vardı amkkq",0,1
I'm at istanbul kültür üniversitesi lokali https://t.co/Jrip4xEsNe,0,0
I'm at istanbul kültür üniversitesi lokali w/ @cistekisondamla https://t.co/nYu6qbM6pI,0,0
istanbul kültür üniversitesi grafik tasarımı kazanmışım şakamı bu aq,0,0
istanbul kültür üniversitesi.. her sabah bu üniyi gördüğümde yariliyorum gülmekten,0,0
istanbul kültür üniversitesi 💙 @edisgorgulu https://t.co/2kDIII1uSY,0,1
istanbul kültür üniversitesi reklamları karşıma çıkmayı bırakın. ben o hatayı 3 sene önce yaptım zaten.,0,0
Birisi lütfen istanbul kültür üniversitesi adlı nazı kampından kaydımı sildirebilir mi cama çıkıp imdat diye bağırmama ramak kaldı çünkü,0,0
o kadar ülke gezmedim dil o kadar bilmiyorum ama senin bildiğini de sanmıyorum tübitak beni çağırdı gitmedim lisede türkiye 40. vardı  nereye birinci oluyorsun istanbul kültür üniversitesi hukuk fakültesini sol gözüm kapalı kazanırım 3 saatlik çalışmayla bitiririm :((,-1,0
valla süper özellikler istanbul kültür üniversitesi nasıl kandırmış bu kızı,0,0
istanbul kültür üniversitesi hukuk fakültesini düşünen arkadaşlara yardımcı olabilirim...,0,0
istanbul Kültür Üniversitesi 2020-2021 dönemi eğitim-öğretim planlamaları hakkında https://t.co/9G4DerH0WS,0,0
"sn. @Dr_OrhanKaraca hocanın istanbul kültür üniversitesi'nde verdiği ""türkiye ekonomisi ve güncel ekonomik sorunlar"" dersi sunumları açık, isteyen ücretsiz yararlanabilir: https://t.co/ZzFExk2Ydv",0,0
istanbul kültür üniversitesi piyasaya ui designer fonluyo,0,0
istanbul kültür üniversitesi... hayatımın bomboş geçen 3 senesini geri ver,0,0
"Bugün Sibel Keyvan &amp; Yarın ben istanbul Kültür Üniversitesi’de YouTube Canlı yayınında birlikte olacağız. Yayını izlemek için aşağıdaki linke tıklayıp abone olmayı unutmayın.

https://t.co/UZCM0lw85G https://t.co/UoNQ8pvXst",0,0
"Küresel ekonomiyi ve Türkiye ekonomisine dair merak ettiklerinizi istanbul Kültür Üniversitesi Öğretim Üyesi Prof.Dr. @sinanalcin ile #EkonomiYorum’da konuşuyoruz.

Birazdan @TRTRadyo1’de...

Online: https://t.co/htpHBRVzjm 

@TRTistradyosu @FeryalArdal https://t.co/Px4xASEmok",0,0
